article_id,article_title,service,category,knowledge_type,user_need,symptoms,user_description_examples,diagnostic_questions,required_information,probable_cause,resolution_steps,workaround,escalation_criteria,priority_guidance,estimated_resolution_time,agent_response_guidance,keywords,owner_role,review_frequency,status,version
KB-021,Onboarding de novo colaborador,Provisionamento de Usuários,Requisição de Serviço,Procedimento de requisição,"O gestor precisa solicitar conta, e-mail, equipamento e acessos básicos para novo colaborador antes da data de início.","Novo colaborador sem conta, sem notebook, sem e-mail, sem acesso inicial ou solicitação feita em prazo curto.",Preciso cadastrar novo colaborador; novo funcionário começa segunda; preciso de notebook e acessos para alguém novo.,Qual é a data de início? Qual cargo e departamento? Quais sistemas serão necessários? Precisa de notebook ou apenas conta? O gestor já aprovou?,"Nome completo, data de início, cargo, departamento, gestor, localidade, tipo de vínculo, sistemas necessários e equipamento requerido.","Entrada de novo colaborador, mudança organizacional ou solicitação tardia de provisionamento.","Coletar dados do colaborador; confirmar gestor e data; aplicar pacote padrão por função; registrar requisição; criar tarefas para conta, e-mail, equipamento e acessos.",Solicitar acesso temporário mínimo aprovado quando a entrada ocorrer antes do prazo recomendado.,Escalar para Operações de TI quando a data de início for inferior a dois dias úteis ou houver equipamento indisponível.,Média quando dentro do prazo; alta quando o início é iminente e o colaborador ficaria improdutivo.,Até 5 dias úteis quando solicitado com antecedência adequada.,"Tratar como requisição de serviço, não incidente. Verificar campos obrigatórios e informar dependência de estoque e aprovações.","onboarding, novo colaborador, conta, equipamento, acessos, admissão",IT Operations,Semestral,Published,1.0
KB-022,Recuperação de arquivo excluído,Armazenamento e Arquivos,Dados,Procedimento de recuperação,"O usuário precisa recuperar arquivo, pasta ou versão anterior excluída acidentalmente.","Arquivo desapareceu, pasta removida, documento sobrescrito, versão anterior necessária ou item não encontrado no repositório.",Apaguei um arquivo sem querer; preciso recuperar uma pasta; perdi a versão anterior; o documento sumiu.,Onde o arquivo estava salvo? Quando foi excluído? Qual é o nome ou caminho? Você verificou lixeira ou histórico de versões? O arquivo é crítico?,"Nome do arquivo, caminho, local de armazenamento, data de exclusão, versão desejada, usuário responsável e criticidade de negócio.","Exclusão acidental, sobrescrita, movimentação de arquivo, sincronização incorreta ou expiração de retenção.",Orientar consulta à lixeira; verificar histórico de versões; confirmar local e data; registrar solicitação de restauração se backup for necessário; informar dependência de política de retenção.,"Usar versão compartilhada por outro usuário ou cópia local válida, quando houver e for permitido.",Escalar para equipe de Backup ou Armazenamento quando a recuperação não puder ser feita pelo usuário ou envolver dados críticos.,Média para arquivo importante; alta se interromper processo crítico; baixa para arquivo não urgente com alternativa.,Até 1 dia útil para restauração padrão; depende da retenção e do volume.,"Antes de registrar, perguntar local, nome e data. Explicar que a recuperação depende de retenção e disponibilidade de backup.","arquivo, recuperação, backup, lixeira, versão, pasta, restauração",Storage and Backup Team,Semestral,Published,1.0
KB-023,Sincronização de arquivos em nuvem com falha,Armazenamento em Nuvem,Dados,Solução de incidente,O usuário precisa sincronizar arquivos entre dispositivo e repositório em nuvem para manter versões atualizadas e disponíveis.,"Ícone de sincronização com erro, conflito de versões, arquivo não atualiza, pasta indisponível offline ou mensagem de falta de espaço.",O OneDrive não sincroniza; meu arquivo não atualiza; aparece conflito de sincronização; a pasta não baixa.,Qual pasta ou arquivo não sincroniza? O cliente mostra erro? Há espaço em disco? O problema ocorre em outro dispositivo?,"Serviço de nuvem, caminho do arquivo, erro exibido, status do cliente, espaço disponível e dispositivo utilizado.","Cliente de sincronização travado, falta de espaço, conflito de versões, caminho longo, credenciais expiradas ou restrição de política.",Verificar status do cliente; confirmar espaço em disco; pausar e retomar sincronização; resolver conflitos; reiniciar cliente; registrar chamado se persistir.,Acessar o arquivo diretamente pelo navegador enquanto a sincronização local é corrigida.,Escalar para Suporte de Endpoint quando o cliente precisar ser reparado ou reinstalado; para equipe de colaboração se houver falha ampla.,Média quando afeta colaboração ativa; baixa se houver acesso pelo navegador; alta se impactar área crítica sem alternativa.,Até 1 dia útil.,Diferenciar falha local de sincronização e indisponibilidade do serviço. Solicitar caminho do arquivo e mensagem exata.,"sincronização, OneDrive, SharePoint, nuvem, conflito, arquivo, pasta",Collaboration Support,Semestral,Published,1.0
KB-024,Computador lento ou com baixo desempenho,Dispositivo do Usuário,Desempenho,Solução de incidente,O usuário precisa melhorar o desempenho do computador quando lentidão prejudica a execução das atividades.,"Inicialização lenta, aplicativos demorando a abrir, travamentos, alto uso de CPU ou disco, pouca memória disponível ou armazenamento quase cheio.",Meu computador está muito lento; tudo trava; demora para iniciar; os programas não respondem.,Quando a lentidão começou? Afeta todos os programas ou apenas um? Houve atualização recente? Há pouco espaço em disco? O equipamento esquenta ou desliga?,"Patrimônio do equipamento, início do problema, aplicações afetadas, espaço em disco, mudanças recentes e impacto no trabalho.","Pouco espaço em disco, excesso de processos, atualização recente, hardware insuficiente, malware, driver ou aplicação específica com consumo elevado.",Reiniciar equipamento; fechar aplicações não usadas; verificar espaço em disco; remover arquivos temporários conforme política; identificar mudança recente; registrar chamado se persistir.,"Usar estação alternativa ou versão web de aplicações enquanto ocorre diagnóstico, quando disponível.","Escalar para Suporte de Endpoint se o dispositivo estiver inutilizável, falhar em diagnóstico, superaquecer ou houver suspeita de malware.",Baixa quando ainda há produtividade; média quando compromete trabalho diário; alta quando impede execução de função essencial.,Até 2 dias úteis para diagnóstico padrão.,"Não assumir problema de hardware sem qualificação. Perguntar início, escopo e aplicações afetadas para distinguir lentidão geral de erro de aplicação.","lentidão, desempenho, travamento, CPU, disco, memória, computador lento",Endpoint Support,Semestral,Published,1.0
KB-025,Aplicação de negócio lenta,Aplicações de Negócio,Desempenho,Solução de incidente,"O usuário precisa executar transações, relatórios ou consultas em aplicação corporativa com tempo de resposta aceitável.","Relatório não carrega, transação demora, tela fica processando, sistema responde lentamente ou degrada em horários específicos.",O ERP está lento; o relatório não abre; a tela fica carregando; o sistema demora para salvar.,Qual transação ou relatório está lento? Ocorre em qual horário? Outros usuários percebem o mesmo? A lentidão ocorre em outra rede ou navegador?,"Aplicação, transação afetada, horário, frequência, usuários afetados, local/rede e evidências de tempo de resposta.","Degradação de backend, consulta pesada, integração lenta, rede, navegador, pico de uso ou indisponibilidade parcial.",Coletar aplicação e transação; identificar horário; confirmar outros usuários; testar navegador alternativo; registrar incidente com evidência e impacto.,"Executar processo em horário alternativo, usar relatório previamente gerado ou procedimento manual aprovado, se existir.",Escalar para Suporte de Aplicações quando múltiplos usuários ou processo crítico forem afetados; para Redes se houver padrão por localidade.,Média para lentidão individual; alta para processo crítico; crítica para indisponibilidade generalizada de aplicação essencial.,Até 1 dia útil para triagem; solução final depende de causa e equipe responsável.,Solicitar transação específica e número de afetados. Não registrar como computador lento quando apenas uma aplicação está degradada.,"sistema lento, ERP, relatório, transação, desempenho, aplicação, tempo de resposta",Application Support,Trimestral,Published,1.0
KB-026,Configuração de e-mail corporativo no celular,Dispositivo Móvel,Mobilidade,Procedimento,O usuário precisa configurar e-mail e aplicativos corporativos em celular pessoal autorizado ou aparelho corporativo.,"E-mail não sincroniza no celular, aplicativo solicita cadastro, acesso móvel bloqueado ou dispositivo não está em conformidade.",Quero configurar e-mail no celular; o app corporativo não entra; troquei de telefone; o celular não sincroniza e-mail.,O dispositivo é corporativo ou pessoal? É Android ou iOS? Já está cadastrado na gestão de dispositivos? O MFA funciona?,"E-mail do usuário, tipo de dispositivo, sistema operacional, propriedade do dispositivo, status de cadastro e mensagem de erro.","Dispositivo não registrado, política de conformidade pendente, aplicativo incorreto, MFA não configurado ou sistema operacional incompatível.",Confirmar tipo de dispositivo; orientar instalação do aplicativo aprovado; validar cadastro na gestão móvel; concluir MFA; registrar chamado se a conformidade falhar.,Acessar e-mail pelo computador corporativo ou navegador autorizado enquanto o dispositivo móvel é configurado.,"Escalar para Suporte de Mobilidade quando cadastro, conformidade ou política de dispositivo bloquear acesso.",Baixa por ser requisição; média se o usuário depende de mobilidade para atividade externa no mesmo dia.,Até 2 dias úteis.,Explicar que o acesso móvel depende de política de segurança e conformidade. Coletar tipo de dispositivo antes de orientar passos.,"celular, e-mail, móvel, iOS, Android, MDM, conformidade",Mobility Support,Semestral,Published,1.0
KB-027,Perda ou roubo de dispositivo corporativo,Segurança da Informação,Segurança,Incidente de segurança,"O usuário precisa reportar imediatamente perda ou roubo de notebook, celular, tablet, crachá ou outro ativo corporativo.","Dispositivo não localizado, furto, roubo, perda em transporte, crachá extraviado ou suspeita de acesso indevido ao equipamento.",Perdi meu notebook; roubaram meu celular corporativo; perdi o crachá; esqueci o equipamento em um local público.,Quando e onde ocorreu? O dispositivo é corporativo? Ele contém dados sensíveis? Está protegido por senha? Há boletim de ocorrência?,"Tipo de dispositivo, patrimônio, último local conhecido, horário, dados potencialmente expostos, usuário responsável e contato alternativo.","Perda física, roubo, furto, extravio ou falha de custódia de ativo com possível exposição de dados.",Registrar incidente crítico; acionar Segurança e Gestão de Ativos; bloquear ou apagar remotamente quando possível; revogar sessões e tokens; orientar comunicação formal conforme política.,"Fornecer equipamento reserva após contenção e aprovação, quando disponível.","Escalar imediatamente para Segurança, Gestão de Ativos e gestor do usuário.","Crítica quando houver risco de dados ou credenciais; alta para perda sem dados sensíveis, mas com ativo corporativo.",Resposta imediata para contenção; reposição depende de estoque e aprovação.,Não aguardar detalhes completos para abrir incidente. Coletar informações essenciais e acionar segurança imediatamente.,"perda, roubo, notebook, celular, crachá, ativo, dispositivo, segurança",Security Operations,Mensal,Published,1.0
KB-028,Solicitação de equipamento de TI,Ativos de TI,Requisição de Serviço,Procedimento de requisição,"O usuário ou gestor precisa solicitar notebook, monitor, headset, teclado, mouse, dock station ou outro item de TI.","Necessidade de equipamento novo, substituição, expansão de estação de trabalho, trabalho remoto ou adequação ergonômica.",Preciso de um monitor; quero solicitar notebook; preciso de headset; minha equipe precisa de equipamentos.,Qual equipamento é necessário? Há aprovação do gestor? Qual é a justificativa? Para onde deve ser entregue? Há prazo específico?,"Tipo de equipamento, quantidade, justificativa, aprovação, centro de custo, local de entrega, usuário beneficiado e urgência.","Novo posto de trabalho, substituição de item, expansão de equipe, necessidade de mobilidade ou reposição de periférico.","Coletar dados; confirmar aprovação; verificar estoque; registrar requisição; encaminhar para separação, compra ou entrega; informar prazo estimado.","Usar equipamento reserva ou compartilhado, quando houver e for permitido.","Escalar para Operações de TI quando houver urgência de onboarding, indisponibilidade de estoque ou compra necessária.",Baixa como requisição planejada; média para onboarding próximo; alta apenas com justificativa operacional crítica.,Até 5 dias úteis quando houver estoque; prazo maior para compra.,"Classificar como requisição, exigir aprovação e local de entrega. Não prometer disponibilidade sem consulta de estoque.","equipamento, notebook, monitor, headset, teclado, mouse, ativo, estoque",IT Operations,Semestral,Published,1.0
KB-029,Dúvida sobre política ou procedimento de TI,Governança de TI,Informação,Artigo informativo,"O usuário precisa entender uma política, padrão ou procedimento de TI antes de executar uma ação ou solicitar exceção.","Dúvida sobre instalação, armazenamento, uso aceitável, segurança, acesso, dispositivos pessoais ou suporte disponível.",Posso instalar este programa? Qual é a política de uso? Onde devo salvar arquivos? Posso usar meu celular pessoal?,"Qual política ou procedimento você quer consultar? A dúvida envolve software, dados, acesso, segurança, equipamento ou exceção? Há decisão urgente envolvida?","Tema da política, contexto de negócio, ação pretendida, urgência e eventual necessidade de exceção.","Ausência de conhecimento sobre política, mudança de procedimento, dúvida sobre exceção ou interpretação de regra corporativa.",Identificar tema; fornecer resumo aprovado; indicar documento oficial; registrar requisição quando houver exceção; encaminhar dúvidas ambíguas para Governança ou Segurança.,Seguir o procedimento padrão vigente até que exceção formal seja aprovada.,"Escalar para Governança de TI ou Segurança quando houver exceção, risco, ambiguidade ou impacto regulatório.",Baixa para dúvida informativa; média quando a resposta impacta decisão de negócio próxima; alta apenas se houver risco regulatório imediato.,Até 1 dia útil para orientação; exceções dependem de aprovação.,"Responder diretamente apenas quando o artigo for claro. Se a pergunta envolver exceção, não decidir automaticamente.","política, procedimento, governança, exceção, norma, uso aceitável, segurança",IT Governance,Trimestral,Published,1.0
KB-030,Solicitação ambígua ou insuficiente para classificação,Atendimento de TI,Triagem,Roteiro de qualificação,"O usuário precisa de ajuda, mas descreve o problema de forma genérica, impedindo classificação imediata pelo agente.","Relatos como 'não funciona', 'estou com problema', 'o sistema deu erro' ou 'preciso de ajuda', sem serviço, erro ou impacto definidos.",Não está funcionando; estou com problema; preciso de ajuda; o sistema caiu; nada abre.,"O que você estava tentando fazer? Qual sistema, equipamento ou serviço está afetado? Qual mensagem aparece? Quando começou? Outras pessoas também estão afetadas? Qual é o impacto no seu trabalho?","Serviço afetado, objetivo do usuário, mensagem de erro, horário de início, escopo, impacto, urgência e evidência quando disponível.","Informação inicial insuficiente, usuário sem vocabulário técnico, múltiplos sintomas ou relato emocional sem dados objetivos.",Fazer perguntas de qualificação; identificar serviço afetado; coletar erro e evidência; determinar impacto e urgência; direcionar para artigo específico; registrar chamado somente após dados mínimos.,"Se o usuário estiver frustrado ou sem condições de responder, registrar triagem para atendimento humano com resumo da conversa.","Escalar para Service Desk quando, após três tentativas de qualificação, ainda não houver informação suficiente ou quando houver risco de impacto crítico.","Média provisória até classificação; ajustar para baixa, média, alta ou crítica conforme impacto, urgência e risco identificados.",Pendente de classificação; resposta de triagem em até 4 horas úteis.,"Não inventar categoria. O agente deve conduzir perguntas curtas, uma por vez ou em bloco estruturado, até obter dados mínimos para roteamento.","ambíguo, triagem, não funciona, problema, ajuda, classificação, qualificação",Service Desk,Trimestral,Published,1.0
